# Printing path from GOAL to SOURCE
# Time elapsed by A* Algorithm 6.782010s 
# Time elapsed reading binary file 0.615873s
# Total time elapsed 8.249165s
# Iteration | Node Id | Distance | latitude | long
 245 |  248968491 | 948149.09 | 37.471846 | -5.935243
 246 | 1064883760 | 948130.55 | 37.471995 | -5.935148
 247 | 1064883765 | 948111.12 | 37.472069 | -5.934949
 248 | 1064883768 | 948098.89 | 37.472071 | -5.934810
 249 |  248968490 | 948070.53 | 37.472144 | -5.934503
 250 |  248968489 | 948027.14 | 37.472296 | -5.934051
 251 |  248968445 | 947986.76 | 37.472459 | -5.933643
 252 |  248968563 | 947580.84 | 37.474101 | -5.929540
 253 |  248968568 | 947315.99 | 37.475157 | -5.926853
 254 |  248968569 | 947266.05 | 37.475382 | -5.926364
 255 |  248968570 | 947222.23 | 37.475620 | -5.925969
 256 |  248968571 | 946938.04 | 37.477446 | -5.923721
 257 |  248968597 | 946901.80 | 37.477704 | -5.923472
 258 |  248968598 | 946770.22 | 37.478767 | -5.922819
 259 |  248968599 | 946674.92 | 37.479591 | -5.922528
 260 |  248968594 | 946584.00 | 37.480158 | -5.921787
 261 |  248968595 | 946546.52 | 37.480368 | -5.921455
 262 |  248969147 | 946107.05 | 37.481887 | -5.916863
 263 |  248969148 | 945802.54 | 37.483228 | -5.913859
 264 |  308645308 | 945784.38 | 37.483333 | -5.913702
 265 |  248969149 | 945669.63 | 37.483998 | -5.912708
 266 |  308645566 | 945535.96 | 37.484790 | -5.911571
 267 |  308670559 | 945516.72 | 37.484904 | -5.911407
 268 |  248969150 | 945389.19 | 37.485660 | -5.910322
 269 |  248969151 | 945327.00 | 37.486061 | -5.909833
 270 |  308617443 | 945213.19 | 37.486882 | -5.909064
 271 |  248969152 | 945090.76 | 37.487764 | -5.908237
 272 |  248969153 | 944995.61 | 37.488411 | -5.907533
 273 |  248969154 | 944772.00 | 37.489794 | -5.905696
 274 |  248969155 | 944725.89 | 37.490093 | -5.905336
 275 |  308616489 | 944569.66 | 37.491259 | -5.904351
 276 |  248969156 | 944393.67 | 37.492572 | -5.903241
 277 |  308616015 | 944273.44 | 37.493509 | -5.902564
 278 |  308616645 | 944198.11 | 37.494096 | -5.902139
 279 |  248969157 | 944081.59 | 37.495003 | -5.901482
 280 |  248969158 | 943763.07 | 37.497605 | -5.899980
 281 |  248969159 | 943721.71 | 37.497938 | -5.899774
 282 |  248969160 | 943611.86 | 37.498830 | -5.899242
 283 |  248969145 | 943564.92 | 37.499191 | -5.898967
 284 |  248969246 | 943181.15 | 37.502017 | -5.896478
 285 |  248969247 | 942826.89 | 37.504795 | -5.894521
 286 |  248969248 | 942582.61 | 37.506797 | -5.893388
 287 |  248969249 | 942421.53 | 37.508111 | -5.892624
 288 |  248969250 | 942383.44 | 37.508404 | -5.892401
 289 |  248969251 | 942333.60 | 37.508717 | -5.891998
 290 |  248969252 | 942099.69 | 37.510038 | -5.889938
 291 |  248969253 | 942009.05 | 37.510590 | -5.889182
 292 |  248969254 | 941843.07 | 37.511713 | -5.887946
 293 |  248969255 | 941745.53 | 37.512435 | -5.887320
 294 |  248969256 | 941442.50 | 37.514743 | -5.885500
 295 |  248969257 | 941185.64 | 37.516676 | -5.883912
 296 |  248969258 | 941141.37 | 37.516989 | -5.883603
 297 |  248969259 | 940742.86 | 37.519297 | -5.880153
 298 |  248969260 | 940425.68 | 37.521196 | -5.877475
 299 |  248969261 | 939940.68 | 37.524226 | -5.873527
 300 |  248969262 | 939879.36 | 37.524580 | -5.872995
 301 |  248969263 | 939755.57 | 37.525185 | -5.871819
 302 |  248969264 | 939687.20 | 37.525505 | -5.871158
 303 |  248969265 | 939647.43 | 37.525737 | -5.870815
 304 | 1250379069 | 939442.96 | 37.527189 | -5.869396
 305 | 1250379075 | 939412.33 | 37.527406 | -5.869184
 306 | 1250379017 | 939370.23 | 37.527708 | -5.868896
 307 | 1250379048 | 939343.19 | 37.527901 | -5.868711
 308 |  248969266 | 939273.29 | 37.528385 | -5.868205
 309 |  248969267 | 938590.26 | 37.533251 | -5.863493
 310 |  248969268 | 937961.22 | 37.537737 | -5.859159
 311 |  248969269 | 937774.76 | 37.539082 | -5.857901
 312 | 1250417015 | 937752.35 | 37.539274 | -5.857824
 313 | 1250417191 | 937740.70 | 37.539377 | -5.857801
 314 | 1250417078 | 937729.04 | 37.539482 | -5.857793
 315 | 1250417000 | 937724.15 | 37.539524 | -5.857810
 316 | 1250416956 | 937713.31 | 37.539621 | -5.857797
 317 | 1250417216 | 937701.29 | 37.539722 | -5.857751
 318 | 1250416888 | 937689.08 | 37.539794 | -5.857646
 319 | 1250416960 | 937677.82 | 37.539807 | -5.857520
 320 | 1250416973 | 937660.18 | 37.539906 | -5.857363
 321 | 1250417122 | 937643.28 | 37.539999 | -5.857212
 322 |  248969244 | 937622.37 | 37.540137 | -5.857051
 323 |  248969245 | 937436.25 | 37.541544 | -5.855913
 324 |  248969847 | 937391.88 | 37.541904 | -5.855696
 325 |  248969848 | 937339.47 | 37.542351 | -5.855511
 326 |  248969849 | 937285.45 | 37.542821 | -5.855357
 327 |  248969850 | 937252.22 | 37.543093 | -5.855202
 328 |  248969851 | 937173.22 | 37.543678 | -5.854696
 329 |  248969852 | 937108.25 | 37.544175 | -5.854309
 330 |  248969854 | 937061.40 | 37.544563 | -5.854103
 331 |  248969855 | 936936.61 | 37.545645 | -5.853734
 332 |  248969856 | 936882.17 | 37.546101 | -5.853511
 333 |  248969857 | 936801.52 | 37.546740 | -5.853082
 334 |  248969858 | 936695.91 | 37.547503 | -5.852370
 335 |  248969859 | 936548.53 | 37.548469 | -5.851228
 336 |  248969860 | 936405.48 | 37.549360 | -5.850061
 337 |  248969861 | 936198.45 | 37.550517 | -5.848224
 338 |  248969862 | 935907.07 | 37.551728 | -5.845297
 339 |  248969863 | 935824.00 | 37.552089 | -5.844473
 340 |  248969864 | 935357.67 | 37.554505 | -5.840156
 341 |  248969865 | 934827.67 | 37.557247 | -5.835246
 342 |  248969866 | 934744.80 | 37.557689 | -5.834491
 343 |  248969867 | 934672.84 | 37.558179 | -5.833959
 344 |  248969869 | 934484.41 | 37.559587 | -5.832774
 345 |  248969870 | 934398.28 | 37.560186 | -5.832156
 346 |  248969871 | 934250.79 | 37.561173 | -5.831041
 347 |  248969872 | 934143.25 | 37.561914 | -5.830260
 348 |  248969873 | 934049.18 | 37.562561 | -5.829573
 349 |  248969874 | 934002.94 | 37.562778 | -5.829127
 350 |  248969875 | 933878.46 | 37.563330 | -5.827899
 351 |  248971084 | 933805.27 | 37.563643 | -5.827170
 352 |  248971085 | 933459.85 | 37.564785 | -5.823530
 353 |  248971086 | 933335.20 | 37.565303 | -5.822277
 354 |  248971087 | 933267.46 | 37.565575 | -5.821591
 355 |  248971088 | 933089.27 | 37.566160 | -5.819711
 356 |  248971089 | 933032.33 | 37.566405 | -5.819145
 357 |  248971090 | 932944.68 | 37.566908 | -5.818381
 358 |  248971091 | 932713.13 | 37.568316 | -5.816449
 359 |  248971092 | 932627.34 | 37.568888 | -5.815797
 360 |  248971093 | 932422.56 | 37.570371 | -5.814424
 361 |  248971095 | 932242.93 | 37.571663 | -5.813205
 362 |  248971096 | 932163.30 | 37.572269 | -5.812724
 363 |  248971097 | 932126.37 | 37.572568 | -5.812544
 364 |  248971078 | 932050.16 | 37.573174 | -5.812141
 365 |  248971079 | 932006.48 | 37.573500 | -5.811866
 366 |  248971080 | 931957.20 | 37.573813 | -5.811471
 367 |  248971081 | 931909.49 | 37.574065 | -5.811033
 368 |  248971083 | 931810.26 | 37.574453 | -5.810021
 369 |  248971497 | 931664.15 | 37.575133 | -5.808605
 370 |  248971498 | 931492.60 | 37.575929 | -5.806939
 371 |  248971499 | 931344.46 | 37.576749 | -5.805617
 372 | 1228944406 | 931312.21 | 37.576994 | -5.805422
 373 | 1228944413 | 931305.53 | 37.576975 | -5.805350
 374 | 1228944441 | 931295.73 | 37.577008 | -5.805248
 375 | 1228944416 | 931292.31 | 37.577032 | -5.805223
 376 | 1228944408 | 931285.21 | 37.577093 | -5.805201
 377 | 1228944410 | 931281.27 | 37.577126 | -5.805218
 378 |  248971500 | 931252.93 | 37.577204 | -5.804912
 379 |  248971501 | 931124.14 | 37.577799 | -5.803661
 380 |  248971502 | 930884.45 | 37.578854 | -5.801292
 381 |  248971503 | 930706.27 | 37.579534 | -5.799463
 382 |  248971504 | 930424.58 | 37.580561 | -5.796545
 383 |  248971505 | 930314.59 | 37.581064 | -5.795472
 384 |  248971506 | 930247.04 | 37.581432 | -5.794863
 385 |  248971507 | 930166.10 | 37.581765 | -5.794048
 386 |  248971508 | 930032.44 | 37.582112 | -5.792597
 387 |  248971509 | 929702.38 | 37.582976 | -5.789018
 388 |  248971510 | 929623.08 | 37.583105 | -5.788134
 389 |  248971512 | 929445.48 | 37.583214 | -5.786125
 390 |  248971513 | 929046.98 | 37.583466 | -5.781619
 391 |  248972842 | 928944.49 | 37.583534 | -5.780461
 392 |  248972843 | 928901.66 | 37.583588 | -5.779980
 393 |  248972844 | 928861.15 | 37.583717 | -5.779551
 394 |  248972845 | 928814.75 | 37.583914 | -5.779087
 395 |  248972846 | 928729.64 | 37.584363 | -5.778306
 396 |  248972847 | 928666.33 | 37.584703 | -5.777731
 397 |  248972848 | 928478.91 | 37.585343 | -5.775766
 398 |  248972849 | 927853.45 | 37.587513 | -5.769225
 399 |  248972851 | 927773.59 | 37.587778 | -5.768384
 400 |  248972852 | 927670.93 | 37.588016 | -5.767260
 401 |  248972853 | 926979.45 | 37.589220 | -5.759569
 402 |  248972854 | 926876.39 | 37.589417 | -5.758428
 403 |  248972855 | 926778.53 | 37.589743 | -5.757398
 404 |  248972856 | 926723.23 | 37.589906 | -5.756806
 405 |  248972857 | 926654.82 | 37.589961 | -5.756033
 406 |  248972858 | 926544.28 | 37.589961 | -5.754780
 407 |  248972859 | 926483.89 | 37.589886 | -5.754102
 408 |  248972860 | 926429.69 | 37.589784 | -5.753501
 409 |  248972861 | 926372.89 | 37.589798 | -5.752858
 410 |  248972863 | 925991.51 | 37.590396 | -5.748600
 411 |  248972864 | 925830.56 | 37.590621 | -5.746798
 412 |  248972865 | 925562.37 | 37.590709 | -5.743759
 413 |  248972866 | 925347.95 | 37.590784 | -5.741330
 414 |  966970277 | 925267.39 | 37.590792 | -5.740417
 415 |  966970253 | 925225.23 | 37.590796 | -5.739939
 416 |  966970237 | 925188.31 | 37.590800 | -5.739521
 417 |  966970282 | 925150.03 | 37.590804 | -5.739087
 418 |  248972867 | 925146.55 | 37.590804 | -5.739047
 419 |  966970255 | 925045.83 | 37.590723 | -5.737910
 420 |  965813626 | 924997.15 | 37.590684 | -5.737360
 421 |  248972868 | 924961.07 | 37.590655 | -5.736953
 422 |  965813587 | 924907.16 | 37.590570 | -5.736351
 423 |  965813659 | 924867.07 | 37.590507 | -5.735904
 424 |  965813541 | 924834.45 | 37.590456 | -5.735539
 425 |  965813568 | 924745.43 | 37.590317 | -5.734546
 426 |  248972869 | 924739.63 | 37.590308 | -5.734481
 427 |  965813565 | 924706.54 | 37.590241 | -5.734115
 428 |  965813615 | 924574.40 | 37.591394 | -5.733757
 429 |  965813559 | 924408.31 | 37.592854 | -5.733369
 430 |  965813555 | 924365.40 | 37.592798 | -5.732888
 431 |  965813655 | 924329.52 | 37.592751 | -5.732485
 432 |  965813579 | 924217.26 | 37.592604 | -5.731226
 433 |  965813560 | 924197.71 | 37.592582 | -5.731006
 434 |  965813552 | 924156.03 | 37.592536 | -5.730537
 435 |  965813543 | 924110.36 | 37.592485 | -5.730024
 436 |  965813634 | 924068.09 | 37.592438 | -5.729548
 437 |  965813638 | 924021.18 | 37.592423 | -5.729017
 438 |  965813553 | 923992.28 | 37.592414 | -5.728689
 439 |  965813631 | 923944.10 | 37.592559 | -5.728174
 440 |  965813632 | 923923.44 | 37.592621 | -5.727954
 441 |  248972882 | 923906.56 | 37.592770 | -5.727992
 442 |  248972883 | 923883.06 | 37.592974 | -5.727924
 443 |  248972884 | 923870.73 | 37.593061 | -5.727838
 444 |  248972885 | 923846.35 | 37.593191 | -5.727615
 445 |  965813612 | 923822.97 | 37.593204 | -5.727351
 446 |  965813630 | 923726.06 | 37.593328 | -5.726263
 447 |  965813540 | 923682.06 | 37.593385 | -5.725770
 448 |  965813660 | 923648.43 | 37.593428 | -5.725392
 449 |  524609489 | 923576.94 | 37.593478 | -5.724584
 450 |  965813639 | 923496.41 | 37.593649 | -5.723697
 451 |  965813558 | 923348.94 | 37.594253 | -5.722209
